-0.261799387799 0.261799387799
0.369641509434 -0.280790153190 | 0.407864078926 -0.157976427024
0.360207547170 -0.371256170404 | 0.409225862994 -0.243737561914
0.495327358843 -0.333100209103 | 0.504074314648 -0.325223535754
0.605213153863 -0.141967375574 | 0.653943396226 0.012041051149
0.626041867845 0.049883028410 | 0.635115015159 0.037248687948
0.600996523670 0.158449468899 | 0.649226415094 0.283806695736
0.538543786178 0.416349885157 | 0.602056603774 0.570087820814
0.459967924569 0.429950565449 | 0.521867924528 0.643489342375
0.487566037736 -0.224122030707 | 0.529568415055 -0.094444016256
0.467594074155 0.223263431833 | 0.616234341714 0.768665626050
0.477162572474 0.257201985768 | 0.540742963942 0.300633514980
0.419957977077 0.482575295993 | 0.479862957811 0.279567582348
0.332465433992 0.725261155941 | 0.557922112658 -0.049763070410
0.143212655492 0.524182329426 | 0.377060708751 0.823361297562
0.315819315093 -0.362165848612 | 0.414483562293 -0.638550682577
0.284735849057 -0.336191926879 | 0.445758032193 -0.222582443833
0.321888951453 0.015844027579 | 0.417292744497 -0.226541107011
0.322471698113 -0.341409249337 | 0.426723320097 -0.176182030063
0.420811869755 -0.022131322474 | 0.465111143760 -0.057233948417
0.455444462029 -0.017706510188 | 0.526584905660 0.231198924678
0.418289531660 -0.049254715723 | 0.493566037736 0.215024428394
0.426242643533 -0.356923632864 | 0.474601988269 -0.296371486069
0.552755406532 -0.381895165375 | 0.578471698113 -0.320203326559
0.628862044920 -0.110757286979 | 0.686962264151 0.080637697291
0.647943396226 -0.009671508566 | 0.665917056593 0.036063507576
0.640826602207 -0.009414510024 | 0.663377358491 -0.024523964849
0.602502603156 0.185867008649 | 0.682245283019 0.466906061567
0.473415094340 -0.104773124433 | 0.587039941868 0.305878436237
0.506422789802 0.063064383972 | 0.560901415156 0.068508952455
0.511096839082 -0.022689677521 | 0.615209648225 0.148634280670
0.520570001884 0.228049349253 | 0.573091357916 0.368968337638
0.464109068851 0.521910898400 | 0.542705016415 0.712455384434
0.407722890167 0.850994345838 | 0.507716981132 0.890536908624
0.276432134592 1.597183080875 | 0.428834815612 1.227858524603
0.354193643952 -1.259402913578 | 0.453067065836 -1.143793481433
0.331835584813 -1.209378750033 | 0.506759591773 -0.573656934320
0.313037735849 -1.232057590373 | 0.490774630577 -0.599892521617
0.379067008109 -0.696320197140 | 0.471326540638 -0.535013364339
0.374358490566 -0.651302246884 | 0.458223906776 -0.372856648061
0.455532965118 -0.015181198213 | 0.484132194138 0.019870274029
0.448342824901 0.244082581643 | 0.465701659669 0.208272020340
0.421522740969 -0.530949666977 | 0.540439122543 -0.245987258635
0.555888657209 -0.412603948341 | 0.611493541975 -0.264474510975
