3.106686068550 3.176499238630
-2.271309873281 0.875010087059 | -5.246245569743 1.834546088129
-1.681268332123 0.683066462780 | -4.131454814388 1.473691322764
-1.249920220153 0.533345809938 | -1.296957221632 0.550434271168
-0.767280536306 0.382821210174 | -1.391077949114 0.584886195678
1.150660886648 -0.254612035978 | 0.441513857916 -0.023941083699
4.645756475616 -1.371639900285 | 3.177416011534 -0.897062057742
5.156758466457 -1.495586364479 | 4.930586100139 -1.419854659695
3.927303582858 -1.056173225570 | -2.862147170179 1.131218081823
-0.964035929847 0.439468890207 | -6.427078550231 2.199906667659
SPEC_FINISHED
